Municipality,Latitude,Longitude
Schattdorf,46.8655,8.65465
Seedorf,47.03445,7.31249
Seelisberg,46.97302,8.58689
Silenen,46.7891,8.67325
Sisikon,46.94915,8.62003
Spiringen,46.87259,8.73017
Unterschächen,46.86281,8.76923
Wassen,46.70651,8.59881
Einsiedeln,47.12849,8.74735
Gersau,46.99419,8.525
Feusisberg,47.18707,8.74724
Freienbach,47.20534,8.75842
Wollerau,47.19478,8.71903
Kuessnacht,47.08557,8.44206
Altendorf,47.18994,8.83823
Galgenen,47.18226,8.87046
Innerthal,47.10567,8.92011
Lachen,47.19224,8.85324
Reichenburg,47.17097,8.97704
Schübelbach,47.17326,8.92811
Tuggen,47.20291,8.94896
Vorderthal,47.12172,8.90225
Wangen,47.34365,7.86982
Alpthal,47.06954,8.71602
Arth,47.06337,8.52349
Illgau,46.98764,8.72509
Ingenbohl,46.9988,8.61529
Lauerz,47.03327,8.58339
Morschach,46.98271,8.61826
Muotathal,46.97676,8.76499
Oberiberg,47.0384,8.77917
Riemenstalden,46.94712,8.66525
Rothenthurm,47.1042,8.67585
Sattel,47.08246,8.63565
Schwyz,47.02076,8.65414
Steinen,47.04975,8.61214
Steinerberg,47.05484,8.58584
Unteriberg,47.06258,8.8052
Alpnach,46.94227,8.2718
Engelberg,46.82107,8.40133
Giswil,46.83333,8.18065
Kerns,46.90121,8.27514
Lungern,46.78578,8.15984
Sachseln,46.86718,8.23344
Sarnen,46.89611,8.24531
Beckenried,46.96653,8.47575
Buochs,46.97398,8.42279
Dallenwil,46.9242,8.38785
Emmetten,46.95658,8.51467
Ennetbürgen,46.98423,8.41003
Ennetmoos,46.95594,8.33884
Hergiswil,46.98429,8.30944
Oberdorf,47.39353,7.75169
Stans,46.95805,8.36609
Stansstad,46.9768,8.33553
Wolfenschiessen,46.90322,8.39423
Betschwanden,46.94634,9.02763
Bilten,47.14995,9.02551
Braunwald,46.94159,8.99643
Elmira,42.0898,-76.80773
Engi,46.98192,9.1528
Ennenda,47.03363,9.07888
Filzbach,47.11897,9.13239
Glarus,47.04057,9.06804
Haslen,47.36931,9.36752
Leuggelbach,46.97633,9.04589
Linthal,46.92127,8.99799
Luchsingen,46.9664,9.03715
Matt,46.95949,9.1712
Mitlödi,47.01233,9.0802
Mollis,47.08878,9.07242
Mühlehorn,47.11756,9.17241
Näfels,47.09775,9.06361
Netstal,47.06337,9.05734
Nidfurn,46.98674,9.05468
Niederurnen,47.12598,9.05428
Oberurnen,47.11412,9.05866
Obstalden,47.11728,9.14867
Riedern,47.04919,9.05119
Rüti,47.25603,8.85552
