,Municipality,Latitude,Longitude
491,Rüti bei Riggisberg,46.7827662,7.4505117
492,Seftigen,46.7887815,7.5396362
493,Toffen,46.859652,7.491931
494,Uttigen,46.7937156,7.579181
495,Wattenwil,46.7691764,7.5076613
496,Wald (BE),46.88018035,7.460580515250517
497,Eggiwil,46.8752245,7.7974921
498,Langnau im Emmental,46.9392339,7.7882673
499,Lauperswil,46.9644914,7.7418169
500,Röthenbach im Emmental,46.8536951,7.7435504
501,Rüderswil,46.9829468,7.7226944
502,Schangnau,46.8277309,7.8610673
503,Signau,46.9188975,7.7255918
504,Trub,46.9417628,7.878947
505,Trubschachen,46.9228891,7.8466832
506,Amsoldingen,46.7280729,7.5814651
507,Blumenstein,46.7412152,7.5208259
508,Buchholterberg,46.819366650000006,7.685568582402096
509,Eriz,46.78758,7.798843
510,Fahrni,46.794007,7.655909
511,Forst,51.7438586,14.6455395
512,Heiligenschwendi,46.750388,7.68459
513,Heimberg,46.7871081,7.605935
514,Hilterfingen,46.7357185,7.6591147
515,Höfen,48.9258996,7.9429127
516,Homberg,50.6407001,8.1058112
517,Horrenbach-Buchen,46.774834,7.776072
518,Längenbühl,46.7576304,7.5391144
519,Oberhofen am Thunersee,46.7313738,7.6687101
520,Oberlangenegg,46.799803,7.734264
521,Pohlern,46.724441,7.5379448
522,Schwendibach,46.769152,7.658443
523,Sigriswil,46.7164293,7.7160699
524,Steffisburg,46.7774738,7.6354195
525,Teuffenthal (BE),46.7689277,7.7106868
526,Thierachern,46.7542844,7.5750016
527,Thun,46.7582827,7.628086
528,Uebeschi,46.7388386,7.5542435
529,Uetendorf,46.774144,7.569395
530,Unterlangenegg,46.7968658,7.699143
531,Wachseldorn,46.8184797,7.7241386
532,Zwieselberg,46.70914,7.6167522
533,Affoltern im Emmental,47.0653533,7.7341485
534,Dürrenroth,47.0902206,7.7895896
535,Eriswil,47.0776383,7.8501785
536,Huttwil,47.1147419,7.8455436
537,Lützelflüh,47.0093461,7.6886004
538,Rüegsau,47.0252174,7.6726703
539,Sumiswald,47.0285646,7.7449828
540,Trachselwald,47.0167827,7.7386149
541,Walterswil (BE),47.105360399999995,7.773403120847679
542,Wyssachen,47.0833722,7.8241528
543,Attiswil,47.2492334,7.6133081
544,Berken,51.1634458,7.4697744
545,Bettenhausen,48.3744049,8.5405181
546,Bollodingen,47.1678108,7.7098894
547,Farnern,47.2674009,7.6229041
548,Graben,48.1890811,10.8220308
549,Heimenhausen,47.2082933,7.6987725
550,Hermiswil,47.1530963,7.6988492
551,Herzogenbuchsee,47.1881314,7.7057052
552,Inkwil,47.2009518,7.6720934
553,Niederbipp,47.2684936,7.6933343
554,Niederönz,47.1847203,7.6918687
555,Oberbipp,47.2613485,7.6610534
556,Oberönz,47.1798768,7.6944946
557,Ochlenberg,47.1501818,7.7357217
558,Röthenbach bei Herzogenbuchsee,47.2053791,7.6814195
559,Rumisberg,47.263451,7.6412018
560,Seeberg,47.154563,7.6625354
561,Thörigen,47.1733314,7.7287365
562,Walliswil bei Niederbipp,47.2356714,7.6917868
563,Walliswil bei Wangen,47.2311037,7.6851028
564,Wangen an der Aare,47.2353036,7.65517
565,Wangenried,47.2169587,7.6586062
566,Wanzwil,47.2002225,7.6931833
567,Wiedlisbach,47.2524377,7.6471049
568,Wolfisberg,47.2729722,7.6612053
569,Doppleschwand,47.0180974,8.0553111
570,Entlebuch,46.9922358,8.0645622
571,Escholzmatt,46.9140785,7.9348793
572,Flühli,46.8840067,8.01564
573,Hasle (LU),46.9796105,8.0526728
574,Marbach (LU),46.8549426,7.9012014
575,Romoos,47.0115225,8.0282996
576,Schüpfheim,46.9517174,8.017953
577,Werthenstein,47.0553684,8.1018157
578,Aesch (LU),47.2570523,8.2406691
579,Altwis,47.238495,8.251632
580,Ballwil,47.1521716,8.3185717
581,Emmen,52.75286615,6.952513466208563
582,Ermensee,47.2282246,8.2409195
583,Eschenbach (LU),47.1330227,8.317969
584,Gelfingen,47.2144081,8.2661787
585,Hämikon,47.2378588,8.2764763
586,Hitzkirch,47.2250438,8.2632119
587,Hochdorf,48.6942941,9.4687074
588,Hohenrain,47.1797457,8.3156425
589,Inwil,47.1220031,8.3508443
590,Lieli,47.2079198,8.2992079
591,Mosen,47.2438703,8.2263631
592,Müswangen,47.2382767,8.2889322
593,Rain,48.6901192,10.9153669
594,Retschwil,47.196079,8.244158
595,Römerswil,47.168923,8.2441972
596,Rothenburg,49.3771899,10.1788809
597,Schongau,47.8134583,10.8967857
598,Sulz (LU),47.2210995,8.2843731
599,Adligenswil,47.070535,8.368244
600,Buchrain,47.0941034,8.3472568
601,Dierikon,47.0969574,8.3692841
602,Ebikon,47.0812067,8.338521
603,Gisikon,47.1262971,8.4006518
604,Greppen,47.054825,8.4306044
605,Honau,47.1307597,8.4065981
606,Horw,47.0185008,8.3107797
607,Kriens,47.034146,8.2807994
608,Littau,49.7013305,17.0758784
609,Luzern,47.0505452,8.3054682
610,Malters,47.0383996,8.1830555
611,Meggen,47.0470746,8.3733992
612,Meierskappel,47.1239632,8.4435423
